Region,Source,Year,Data,Unit
MB,Biomass,2014,0,GW.h
MB,Solar,2014,0,GW.h
MB,Nuclear,2014,0,GW.h
MB,Coal,2014,68.9,GW.h
MB,Natural Gas,2014,25.2479,GW.h
MB,Oil and Diesel,2014,12.4,GW.h
MB,Hydro,2015,34774.34,GW.h
MB,Wind,2015,860,GW.h
MB,Biomass,2015,100,GW.h
MB,Solar,2015,0,GW.h
MB,Nuclear,2015,0,GW.h
MB,Coal,2015,106.3,GW.h
MB,Natural Gas,2015,183,GW.h
MB,Oil and Diesel,2015,43.1,GW.h
MB,Hydro,2016,35599.445,GW.h
MB,Wind,2016,862.952,GW.h
MB,Biomass,2016,78.286,GW.h
MB,Solar,2016,0,GW.h
MB,Nuclear,2016,0,GW.h
MB,Coal,2016,28.487,GW.h
MB,Natural Gas,2016,11.683,GW.h
MB,Oil and Diesel,2016,15.522,GW.h
ON,Hydro,2005,35480,GW.h
ON,Wind,2005,26,GW.h
ON,Biomass,2005,1107.5,GW.h
ON,Solar,2005,0,GW.h
ON,Nuclear,2005,77969,GW.h
ON,Coal,2005,29431,GW.h
ON,Natural Gas,2005,13081.8,GW.h
ON,Oil and Diesel,2005,184.345,GW.h
ON,Hydro,2006,36032,GW.h
ON,Wind,2006,145,GW.h
ON,Biomass,2006,1026.2,GW.h
ON,Solar,2006,0,GW.h
ON,Nuclear,2006,83457,GW.h
ON,Coal,2006,24505,GW.h
ON,Natural Gas,2006,11938.9,GW.h
ON,Oil and Diesel,2006,184.345,GW.h
ON,Hydro,2007,34315,GW.h
ON,Wind,2007,494,GW.h
ON,Biomass,2007,875.3,GW.h
ON,Solar,2007,0,GW.h
ON,Nuclear,2007,79750,GW.h
ON,Coal,2007,28706,GW.h
ON,Natural Gas,2007,13138,GW.h
ON,Oil and Diesel,2007,184.345,GW.h
ON,Hydro,2008,39615,GW.h
ON,Wind,2008,1400,GW.h
ON,Biomass,2008,953.1,GW.h
ON,Solar,2008,0,GW.h
ON,Nuclear,2008,85832,GW.h
ON,Coal,2008,23702,GW.h
ON,Natural Gas,2008,11021.3,GW.h
ON,Oil and Diesel,2008,118.7522,GW.h
ON,Hydro,2009,39685,GW.h
ON,Wind,2009,2300,GW.h
ON,Biomass,2009,812.3,GW.h
ON,Solar,2009,5,GW.h
ON,Nuclear,2009,81396,GW.h
ON,Coal,2009,10725,GW.h
ON,Natural Gas,2009,11711.6,GW.h
